Player,Team,Big3 FFPTS
Jamien Sherwood,NYJ,19.75
Jordyn Brooks,MIA,19.35
Ernest Jones,SEA,19.33
Kaden Elliss,ATL,18.8
Zaire Franklin,IND,18.75
Lavonte David,TB,18.45
Carson Schwesinger,CLE,18.32
Roquan Smith,BAL,18.15
Jack Sanborn,DAL,17.99
Terrel Bernard,BUF,17.95
Zack Baun,PHI,17.72
Foyesade Oluokun,JAX,17.29
Azeez Al-Shaair,HOU,17.1
Robert Spillane,NE,17
Daiyan Henley,LAC,16.86
Bobby Wagner,WAS,16.75
Jack Campbell,DET,16.59
Alex Singleton,DEN,16.35
Blake Cashman,MIN,16.3
Logan Wilson,CIN,16.25
Christian Rozeboom,CAR,16.15
Quincy Williams,NYJ,15.85
Micah McFadden,NYG,15.8
Bobby Okereke,NYG,15.7
Edgerrin Cooper,GB,15.57
Nick Bolton,KC,15.1
Fred Warner,SF,14.99
Dee Winters,SF,14.79
Cody Barton,TEN,14.7
Tyrel Dodson,MIA,14.55
Quay Walker,GB,14.24
Nate Landman,LAR,14.2
Patrick Queen,PIT,13.9
Divine Deablo,ATL,13.55
Tyrice Knight,SEA,13.43
Sirvocea Dennis,TB,13.15
Payton Wilson,PIT,13.08
Demario Davis,NO,13
Alex Anzalone,DET,12.9
Demetrius Knight,CIN,12.6
Devin White,LV,12.45
Ventrell Miller,JAX,12.27
Joe Bachie,IND,12.01
Christian Elliss,NE,11.95
Cedric Gray,TEN,11.91
Mack Wilson,ARI,11.65
Trenton Simpson,BAL,11.4
Drue Tranquill,KC,11.25
Frankie Luvu,WAS,11.2
Pete Werner,NO,11.2
Marist Liufau,DAL,11.1
Tremaine Edmunds,CHI,11.05
Devin Lloyd,JAX,10.96
Germaine Pratt,LV,10.89
Jihaad Campell,PHI,10.87
Trevin Wallace,CAR,10.45
Kenneth Murray,DAL,10.32
Ivan Pace,MIN,10.27
Justin Strnad,DEN,10.23
Henry To'oTo'o,HOU,10.18
Devin Bush,CLE,10
Matt Milano,BUF,9.26
Noah Sewell,CHI,9.11
Omar Speights,LAR,8.98
Ruben Hyppolite,CHI,7.75
Karene Reid,DEN,7.36
T.J. Edwards,CHI,0
