Player,Team,TruePos,Solo Tkl,Ast. Tkl,TFL,QB Hits,PD,FF,FR,INT,SACK,Big3 FFPTS,FantPros FFPTS,FBGuys FFPTS,D-UP FFPTS,Big3 FFPTS/SNAP,,,,,,
Derwin James,LAC,S,4.4,4.7,0.41,0.21,0.41,0.02,0.01,0.19,0.06,13.87,12.63,12.02,13.21,#REF!,,,,,,
Antoine Winfield,TB,S,5.7,3.4,0.29,0.16,0.34,0.01,0.01,0.21,0.01,13.61,13.32,12.76,13.73,#REF!,,,,,,
Riley Moss,DEN,CB,3.6,1.2,0.04,0.00,0.74,0.00,0.00,0.76,0.01,13.09,11.29,11.25,13.66,#REF!,,,,,,
Budda Baker,ARI,S,7.2,2.3,0.20,0.10,0.10,0.00,0.00,0.10,0.10,13.03,13.58,13.58,14.05,#REF!,,,,,,
Jalen Pitre,HOU,CB,5.1,2.7,0.07,0.00,0.90,0.00,0.00,0.06,0.01,12.62,11.47,11.37,13.16,#REF!,,,,,,
Quentin Lake,LAR,CB,4.6,3.1,0.09,0.00,0.80,0.00,0.00,0.07,0.01,12.02,10.96,10.82,12.31,#REF!,,,,,,
Devon Witherspoon,SEA,CB,4.4,1.4,0.00,0.00,1.20,0.00,0.00,0.09,0.01,11.94,9.90,9.94,12.70,#REF!,,,,,,
Jessie Bates,ATL,S,5.6,2.5,0.20,0.01,0.12,0.00,0.00,0.20,0.10,11.68,11.86,11.86,12.34,#REF!,,Big 3 Scoring,,,,
Brian Branch,DET,S,5.8,1.6,0.26,0.04,0.21,0.02,0.01,0.21,0.01,11.57,11.91,11.40,12.31,#REF!,,,,,FantasyPros Scoring,
Max Melton,ARI,CB,2.6,1.6,0.00,0.00,0.82,0.00,0.00,0.63,0.01,11.56,9.48,9.52,11.82,#REF!,,Solo Tkl,1.25,,Solo tackle,1.5
Tyler Nubin,NYG,S,5.1,3.3,0.21,0.11,0.21,0.02,0.00,0.12,0.03,11.49,11.54,11.22,11.63,#REF!,,Assist,0.75,,Assist,0.75
Denzel Ward,CLE,CB,1.7,1.2,0.02,0.00,0.83,0.00,0.00,0.83,0.01,11.44,8.89,8.89,11.55,#REF!,,,,,TFL,2
Pat Surtain,DEN,CB,2.2,0.7,0.00,0.00,0.81,0.00,0.00,0.79,0.01,11.31,8.99,9.03,11.69,#REF!,,Tackle for Loss (TFL),3,,Pass defended,1.5
Grant Delpit,CLE,S,5.8,2.4,0.20,0.10,0.20,0.00,0.00,0.10,0.00,11.25,11.70,11.30,11.80,#REF!,,Pass Defended (PD),4,,FF,4
Kyle Hamilton,BAL,S,4.7,2.8,0.20,0.20,0.40,0.00,0.00,0.10,0.00,11.18,10.65,10.25,11.25,,,,,,,
Nick Cross,IND,S,4.6,3.7,0.13,0.00,0.26,0.00,0.00,0.19,0.01,11.15,11.28,11.06,11.25,#REF!,,Forced Fumble (FF),4,,FR,4
Alontae Taylor,NO,CB,2.9,1.6,0.00,0.00,1.40,0.00,0.00,0.10,0.01,11.08,8.15,8.19,11.41,#REF!,,,,,INT,5
Josh Metellus,MIN,S,4.4,3.6,0.20,0.10,0.30,0.00,0.00,0.12,0.00,10.92,10.75,10.35,10.82,#REF!,,Interception (INT),6,,Sack,4
Ugo Amadi,NO,CB,3.8,1.7,0.00,0.00,1.10,0.00,0.00,0.06,0.01,10.84,8.93,8.97,11.37,#REF!,,,,,,
Quinyon Mitchell,PHI,CB,2.2,1.3,0.00,0.00,0.74,0.00,0.00,0.67,0.01,10.76,8.74,8.78,10.99,#REF!,,Sack,5,,,
Tre'von Moehrig,CAR,S,4.1,2.3,0.10,0.03,0.51,0.00,0.00,0.21,0.00,10.51,9.89,9.69,10.83,#REF!,,Fumble Recovery,3,,,
Julian Love,SEA,S,4.8,3.4,0.12,0.00,0.22,0.00,0.00,0.11,0.00,10.45,10.87,10.63,10.68,#REF!,,,,,,
Tarheeb Still,LAC,CB,2.8,1.8,0.00,0.00,1.12,0.00,0.00,0.17,0.01,10.40,8.08,8.12,10.66,#REF!,,,,,,
DeShon Elliott,PIT,S,4.4,4.5,0.10,0.00,0.30,0.00,0.00,0.00,0.00,10.38,10.63,10.43,10.25,#REF!,,QB Hits,2,,,
Taron Johnson,BUF,CB,4.3,2.1,0.03,0.00,0.71,0.00,0.00,0.06,0.01,10.29,9.45,9.43,10.82,#REF!,,,,,,
Charvarius Ward,IND,CB,3.5,1.1,0.13,0.00,0.72,0.00,0.00,0.29,0.01,10.26,8.87,8.65,10.74,#REF!,,Footballguys Scoring,,,D-UP Scoring,
Keisean Nixon,GB,CB,4.1,1.6,0.06,0.00,0.80,0.00,0.00,0.07,0.01,10.18,9.02,8.94,10.75,#REF!,,Solo tackle,1.5,,Solo tackle,1.5
Jaquan Brisker,CHI,S,5.2,2.4,0.01,0.01,0.10,0.00,0.00,0.15,0.10,10.15,10.52,10.90,10.93,#REF!,,Assist,0.75,,Assist,0.5
Kevin Byard,CHI,S,3.8,4.1,0.10,0.00,0.20,0.00,0.00,0.20,0.00,10.13,10.28,10.08,9.95,#REF!,,Pass defended,1.5,,TFL,2
Byron Murphy,MIN,CB,3.5,1.1,0.00,0.00,1.10,0.00,0.00,0.07,0.01,10.07,8.08,8.12,10.68,#REF!,,FF,3,,QB hit,1
Coby Bryant,SEA,S,4.7,2.6,0.11,0.00,0.26,0.00,0.00,0.13,0.00,9.98,10.26,10.04,10.39,#REF!,,FR,3,,Pass defended,4
Jeremy Chinn,LV,S,4.7,2.6,0.12,0.07,0.30,0.00,0.00,0.07,0.00,9.95,10.04,9.80,10.28,#REF!,,INT,5,,FF,3
Kenny Moore,IND,CB,3.4,1.4,0.08,0.01,0.74,0.02,0.00,0.21,0.01,9.91,8.55,8.41,10.31,#REF!,,Sack,4,,FR,3
Renardo Green,SF,CB,2.7,1.5,0.00,0.00,0.72,0.00,0.00,0.41,0.01,9.89,8.31,8.35,10.20,#REF!,,,,,INT,6
Ja'Quan McMillian,DEN,CB,2.9,0.9,0.12,0.00,0.64,0.00,0.00,0.42,0.01,9.79,8.33,8.13,10.18,#REF!,,,,,Sack,6
Paulson Adebo,NYG,CB,3.2,1.3,0.00,0.00,1.00,0.00,0.00,0.09,0.01,9.57,7.73,7.77,10.05,#REF!,,,,,,
Camryn Bynum,IND,S,3.9,4.1,0.00,0.00,0.40,0.00,0.00,0.00,0.00,9.55,9.53,9.53,9.50,#REF!,,,,,,
Will Harris,WAS,S,5.1,1.8,0.17,0.06,0.13,0.02,0.00,0.09,0.01,9.55,10.07,9.75,10.13,#REF!,,,,,,
Sauce Gardner,NYJ,CB,1.9,1.2,0.00,0.00,0.61,0.00,0.00,0.62,0.01,9.49,7.77,7.81,9.67,#REF!,,,,,,
Cooper DeJean,PHI,CB,3.6,1.4,0.00,0.00,0.71,0.00,0.00,0.17,0.01,9.46,8.37,8.41,10.02,#REF!,,,,,,
Xavier McKinney,GB,S,4.8,1.4,0.00,0.00,0.30,0.00,0.00,0.20,0.00,9.45,9.70,9.70,10.30,#REF!,,,,,,
Mike Hughes,ATL,CB,3.3,1.3,0.07,0.02,0.74,0.00,0.00,0.17,0.01,9.38,8.03,7.93,9.80,#REF!,,,,,,
Tyrique Stevenson,CHI,CB,3.1,1.1,0.01,0.00,1.10,0.01,0.00,0.02,0.01,9.33,7.28,7.29,9.82,#REF!,,,,,,
Cam Taylor-Britt,CIN,CB,2.6,1.3,0.12,0.00,0.82,0.00,0.00,0.22,0.01,9.24,7.45,7.25,9.45,#REF!,,,,,,
Xavien Howard,IND,CB,3.3,2.4,0.07,0.00,0.64,0.00,0.00,0.08,0.01,9.23,8.25,8.15,9.39,#REF!,,,,,,
Andru Phillips,NYG,CB,3.1,1.4,0.07,0.00,0.64,0.00,0.00,0.17,0.09,9.17,7.65,7.87,9.61,#REF!,,,,,,
Chamarri Conner,KC,CB,4.3,1.7,0.04,0.01,0.32,0.00,0.00,0.17,0.01,9.14,9.14,9.10,9.75,#REF!,,,,,,
Jaycee Horn,CAR,CB,2.7,1.2,0.00,0.00,0.49,0.00,0.00,0.47,0.01,9.11,8.04,8.08,9.49,#REF!,,,,,,
Kerby Joseph,DET,S,3.4,3.1,0.00,0.00,0.30,0.00,0.00,0.20,0.00,8.98,8.88,8.88,9.05,#REF!,,,,,,
Reed Blankenship,PHI,S,4.3,2.2,0.10,0.07,0.10,0.00,0.00,0.09,0.10,8.91,8.90,9.10,9.36,#REF!,,,,,,
Tyson Campbell,JAX,CB,3.1,1.2,0.00,0.00,0.37,0.00,0.00,0.42,0.01,8.83,8.21,8.25,9.31,#REF!,,,,,,
Chauncey Gardner-Jonson,HOU,S,2.6,1.6,0.16,0.00,0.36,0.00,0.00,0.38,0.00,8.65,7.86,7.54,8.74,#REF!,,,,,,
Carlton Davis,NE,CB,2.7,1.1,0.02,0.00,0.79,0.00,0.00,0.19,0.01,8.61,7.05,7.05,9.00,#REF!,,,,,,
Nate Hobbs,GB,CB,2.6,1.4,0.00,0.00,0.82,0.00,0.00,0.16,0.01,8.59,6.98,7.02,8.90,,,,,,,
Nate Wiggins,BAL,CB,2.2,1.4,0.09,0.00,0.71,0.00,0.00,0.26,0.01,8.52,6.90,6.76,8.64,#REF!,,,,,,
Deommodore Lenoir,SF,CB,3.6,1.4,0.03,0.00,0.57,0.00,0.00,0.09,0.01,8.51,7.82,7.80,9.04,#REF!,,,,,,
Michael Jackson,CAR,CB,3.3,0.8,0.00,0.00,0.81,0.00,0.00,0.08,0.01,8.50,7.17,7.21,9.13,#REF!,,,,,,
Julian Blackmon,NO,S,4.7,1.8,0.08,0.00,0.12,0.00,0.00,0.09,0.00,8.49,9.19,9.03,9.13,#REF!,,,,,,
Jalen Ramsey,PIT,CB,2.1,1.1,0.03,0.00,0.71,0.00,0.00,0.34,0.01,8.47,6.80,6.78,8.70,#REF!,,,,,,
Tariq Woolen,SEA,CB,2.6,1.1,0.07,0.00,0.71,0.00,0.00,0.21,0.01,8.44,6.98,6.88,8.75,#REF!,,,,,,
Evan Williams,GB,S,4.1,1.7,0.03,0.01,0.21,0.01,0.01,0.16,0.01,8.43,8.68,8.64,8.99,#REF!,,,,,,
Tykee Smith,TB,CB,4.1,1.2,0.11,0.09,0.32,0.00,0.00,0.09,0.01,8.41,8.20,8.02,8.94,#REF!,,,,,,
Kyler Gordon,CHI,CB,3.6,1.3,0.07,0.00,0.52,0.00,0.00,0.08,0.01,8.30,7.70,7.60,8.81,#REF!,,,,,,
Jordan Battle,CIN,S,4.4,1.9,0.10,0.00,0.12,0.00,0.00,0.09,0.00,8.25,8.86,8.66,8.77,#REF!,,,,,,
Jaden Hicks,KC,S,3.1,4.2,0.00,0.00,0.30,0.00,0.00,0.00,0.00,8.23,8.25,8.25,7.95,#REF!,,,,,,
Marlon Humphrey,BAL,CB,2.6,1.3,0.00,0.00,0.71,0.00,0.00,0.17,0.01,8.14,6.79,6.83,8.47,#REF!,,,,,,
Xavier Watts,ATL,S,4.2,2.1,0.20,0.07,0.00,0.00,0.00,0.09,0.00,8.11,8.73,8.33,8.36,,,,,,,
L'Jarius Sneed,TEN,CB,2.9,0.9,0.02,0.00,0.74,0.00,0.00,0.12,0.01,8.09,6.78,6.78,8.58,#REF!,,,,,,
Josh Jobe,SEA,CB,3.2,0.7,0.02,0.00,0.74,0.00,0.00,0.08,0.01,8.08,6.88,6.88,8.69,#REF!,,,,,,
Derek Stingley,HOU,CB,2.2,1.3,0.00,0.00,0.52,0.00,0.00,0.37,0.01,8.08,6.91,6.95,8.31,#REF!,,,,,,
Craig Woodson,NE,S,3.9,1.7,0.16,0.02,0.19,0.01,0.00,0.08,0.00,7.95,8.17,7.84,8.31,#REF!,,,,,,
Terrion Arnold,DET,CB,3.4,0.7,0.00,0.00,0.52,0.00,0.00,0.16,0.01,7.87,7.21,7.25,8.55,#REF!,,,,,,
Jarvis Brownlee,TEN,CB,2.6,1.1,0.02,0.00,0.63,0.00,0.00,0.19,0.01,7.85,6.66,6.66,8.21,#REF!,,,,,,
Zyon McCollum,TB,CB,2.9,1.5,0.03,0.00,0.59,0.00,0.00,0.09,0.01,7.79,6.87,6.85,8.12,#REF!,,,,,,
Mike Sainistril,WAS,CB,2.5,1.6,0.00,0.00,0.67,0.00,0.00,0.12,0.01,7.78,6.56,6.60,8.01,,,,,,,
D.J. Reed,DET,CB,2.7,1.3,0.00,0.00,0.66,0.00,0.00,0.12,0.01,7.76,6.62,6.66,8.12,#REF!,,,,,,
Donovan Wilson,DAL,S,2.9,3.5,0.10,0.00,0.30,0.00,0.00,0.00,0.00,7.75,7.63,7.43,7.50,,,,,,,
Darius Slay,PIT,CB,2.1,0.7,0.00,0.00,0.62,0.00,0.00,0.34,0.01,7.72,6.31,6.35,8.08,#REF!,,,,,,
Dax Hill,CIN,CB,2.6,1.3,0.00,0.00,0.65,0.00,0.00,0.14,0.01,7.72,6.55,6.59,8.05,#REF!,,,,,,
Jason Pinnock,SF,S,3.2,2.1,0.18,0.09,0.02,0.00,0.00,0.04,0.21,7.67,6.97,7.45,7.88,#REF!,,,,,,
Cole Bishop,BUF,S,3.9,2.2,0.14,0.04,0.02,0.00,0.00,0.09,0.00,7.65,8.26,7.98,7.89,#REF!,,,,,,
DaRon Bland,DAL,CB,2.6,1.1,0.00,0.00,0.68,0.00,0.00,0.13,0.01,7.63,6.40,6.44,8.01,#REF!,,,,,,
Trent McDuffie,KC,CB,3.1,1.2,0.02,0.00,0.42,0.00,0.00,0.16,0.01,7.53,7.02,7.02,7.99,#REF!,,,,,,
Jalen Thompson,ARI,S,4.1,1.8,0.05,0.00,0.10,0.00,0.00,0.07,0.00,7.45,8.10,8.00,7.97,#REF!,,,,,,
Jaylon Johnson,CHI,CB,1.9,1.2,0.00,0.00,0.52,0.00,0.00,0.31,0.01,7.27,6.08,6.12,7.45,#REF!,,,,,,
Brandon Jones,DEN,S,3.7,2.1,0.07,0.00,0.20,0.00,0.00,0.00,0.00,7.21,7.57,7.43,7.54,#REF!,,,,,,
Harrison Smith,MIN,S,3.4,1.9,0.06,0.07,0.10,0.00,0.00,0.13,0.00,7.18,7.45,7.33,7.42,,,,,,,
Justin Reid,NO,S,4.6,1.2,0.02,0.00,0.10,0.00,0.00,0.00,0.00,7.11,7.99,7.95,7.94,#REF!,,,,,,
Kyle Dugger,NE,S,3.4,1.8,0.10,0.00,0.30,0.00,0.00,0.00,0.00,7.10,7.10,6.90,7.40,#REF!,,,,,,
Jartavius Martin,WAS,S,2.1,1.7,0.00,0.00,0.60,0.00,0.00,0.12,0.00,7.02,5.93,5.93,7.12,#REF!,,,,,,
Kamari Lassiter,HOU,CB,2.7,1.2,0.04,0.00,0.49,0.00,0.00,0.09,0.01,6.95,6.22,6.18,7.29,#REF!,,,,,,
Talanoa Hufanga,DEN,S,4.1,1.6,0.20,0.00,0.00,0.00,0.00,0.00,0.00,6.93,7.75,7.35,7.35,#REF!,,,,,,
Xavier Woods,TEN,S,3.3,1.9,0.10,0.06,0.13,0.00,0.00,0.07,0.00,6.91,7.12,6.92,7.10,#REF!,,,,,,
Bryan Cook,KC,S,4.1,1.1,0.06,0.00,0.09,0.00,0.00,0.07,0.00,6.91,7.58,7.46,7.60,#REF!,,,,,,
Sydney Brown,PHI,S,3.2,1.3,0.04,0.01,0.26,0.01,0.00,0.11,0.00,6.86,6.84,6.75,7.27,#REF!,,,,,,
Tony Adams,NYJ,S,3.7,2,0.07,0.02,0.07,0.00,0.00,0.00,0.00,6.66,7.30,7.16,6.99,#REF!,,,,,,
Jevon Holland,NYG,S,3.4,1.4,0.09,0.07,0.10,0.00,0.00,0.09,0.00,6.65,6.93,6.75,6.99,#REF!,,,,,,
Lathan Ransom,CAR,S,2.3,2.2,0.16,0.01,0.21,0.00,0.00,0.11,0.01,6.58,6.29,6.01,6.44,,,,,,,
Garrett Williams,ARI,CB,2.4,1.3,0.00,0.00,0.29,0.00,0.00,0.22,0.01,6.51,6.11,6.15,6.79,#REF!,,,,,,
Taylor Rapp,BUF,S,3.3,2.1,0.04,0.00,0.06,0.00,0.00,0.07,0.00,6.48,7.05,6.97,6.74,#REF!,,,,,,
Isaiah Pola-Mao,LV,S,3.4,1.4,0.04,0.00,0.07,0.00,0.00,0.12,0.00,6.42,6.94,6.86,6.88,#REF!,,,,,,
Will Johnson,ARI,CB,2.5,1.3,0.00,0.00,0.28,0.00,0.00,0.19,0.01,6.41,6.10,6.14,6.72,#REF!,,,,,,
Jaire Alexander,BAL,CB,2.4,1.1,0.00,0.00,0.29,0.00,0.00,0.21,0.01,6.30,5.91,5.95,6.63,,,,,,,
Jahdae Barron,DEN,CB,2.2,1.3,0.09,0.00,0.44,0.00,0.00,0.08,0.01,6.29,5.52,5.38,6.43,#REF!,,,,,,
