Player,Team,TruePos,Snaps,Solo Tkl,Ast. Tkl,TFL,QB Hits,PD,FF,FR,INT,SACK,Big3 FFPTS,FantPros FFPTS,FBGuys FFPTS,D-UP FFPTS,Big3 FFPTS/SNAP,,,,,,,
George Karlaftis,KC,ED,905,2.3,2.2,0.7,1.1,0.1,0.2,0,0,1.2,15.73,12.25,10.65,15.25,0.017,,,,,,,
Nick Bosa,SF,ED,875,2.6,1.4,0.8,1.6,0.3,0.1,0,0,0.9,15.40,11.00,9.30,14.70,0.018,,,,,,,
Myles Garrett,CLE,ED,865,2.6,1.2,0.9,1.4,0.1,0,0,0,1.1,14.65,11.15,9.35,14.70,0.017,,,,,,,
Maxx Crosby,LV,ED,1010,3.2,2.1,1.1,1.3,0.1,0,0,0,0.7,14.28,11.53,9.33,13.95,0.014,,,,,,,
Trey Hendrickson,CIN,ED,871,1.9,1.2,1.1,1.3,0,0,0,0,1.1,13.58,10.35,8.15,13.55,0.016,,Big 3 Scoring,,,,FantasyPros Scoring,
T.J. Watt,PIT,ED,873,2.1,2.3,0.5,1.3,0.1,0,0,0,0.9,12.85,9.63,8.63,12.40,0.015,,Solo Tkl,1.25,,,Solo tackle,1.5
Nik Bonitto,DEN,ED,735,2.1,1.4,0.9,1.1,0,0,0,0,0.9,12.18,9.60,7.80,12.15,0.017,,Assist,0.75,,,Assist,0.75
Jared Verse,LAR,ED,835,2.1,1.7,0.36,0.72,0,0.02,0.01,0,0.9,10.71,8.87,8.12,10.93,0.013,,,,,,TFL,2
Aidan Hutchinson,DET,ED,955,2.6,1.7,0.6,0.82,0.2,0,0,0,0.5,10.67,8.68,7.48,10.57,0.013,,,,,,Pass defended,1.5
Will McDonald,NYJ,ED,655,2.1,0.9,0.4,0.7,0.2,0,0,0,0.7,9.80,7.73,6.93,10.10,0.012,,Tackle for Loss (TFL),2,,,FF,4
Haason Reddick,TB,ED,745,1.4,1.3,0.43,0.56,0.12,0.01,0,0,0.89,9.70,7.72,6.85,10.02,0.012,,Pass Defended (PD),4,,,FR,4
Dorance Armstrong,WAS,ED,,2.4,1.2,0.35,0.56,0,0,0,0,0.79,9.67,8.36,7.66,10.20,0.012,,,,,,INT,5
Josh Allen,JAX,ED,835,2.4,0.9,0.24,0.68,0,0.02,0,0,0.69,9.09,7.60,7.10,9.41,0.011,,Interception (INT),6,,,Sack,4
Jonathan Greenard,MIN,ED,905,2.5,1.1,0.22,0.37,0,0,0,0,0.79,9.08,8.18,7.74,9.85,0.011,,Forced Fumble (FF),4,,,,
Micah Parsons,GB,ED,875,2.1,1.3,0.61,0.58,0,0,0,0,0.61,9.03,7.79,6.57,9.26,0.011,,Fumble Recovery,3,,,,
DeForest Buckner,IND,DT,815,4.2,1.2,0.4,0.2,0,0,0,0,0.3,8.85,9.20,8.40,9.70,0.011,,Sack,5,,,,
Brian Burns,NYG,ED,825,2.4,1.4,0.51,0.52,0,0,0,0,0.51,8.66,7.71,6.69,8.90,0.010,,,,,,,
