Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
TEA.J. BarnerSEA,A.J. Barner,TE,"$1,148,777 ",Seattle Seahawks,TE,SEA,8
WRA.J. BrownPHI,A.J. Brown,WR,"$17,523,497 ",Philadelphia Eagles,WR,PHI,9
PA.J. ColeLV,A.J. Cole,P,"$4,900,000 ",Las Vegas Raiders,P,LV,8
RBA.J. DillonPHI,A.J. Dillon,RB,"$1,197,500 ",Philadelphia Eagles,RB,PHI,9
DLA.J. EpenesaBUF,A.J. Epenesa,DE,"$7,487,000 ",Buffalo Bills,DL,BUF,7
DBA.J. GreenLAR,A.J. Green,CB,"$1,100,000 ",Los Angeles Rams,DB,LAR,8
DBA.J. TerrellATL,A.J. Terrell,CB,"$9,000,000 ",Atlanta Falcons,DB,ATL,5
WRA.T. PerryDEN,A.T. Perry,WR,"$1,030,000 ",Denver Broncos,WR,DEN,12
DLA'Shawn RobinsonCAR,A'Shawn Robinson,DE,"$9,610,000 ",Carolina Panthers,DL,CAR,14
RBAaron JonesMIN,Aaron Jones,RB,"$6,800,000 ",Minnesota Vikings,RB,MIN,6
QBAaron RodgersPIT,Aaron Rodgers,QB,"$14,150,000 ",Pittsburgh Steelers,QB,PIT,5
LBAaron SmithNYJ,Aaron Smith,LB,"$840,833 ",New York Jets,LB,NYJ,9
DLAbdul CarterNYG,Abdul Carter,DE,"$8,228,212 ",New York Giants,DL,NYG,14
DLAdam ButlerLV,Adam Butler,DT,"$3,838,333 ",Las Vegas Raiders,DL,LV,8
DLAdam GotsisTB,Adam Gotsis,DE,"$1,030,000 ",Tampa Bay Buccaneers,DL,TB,9
WRAdam ThielenMIN,Adam Thielen,WR,"$10,108,177 ",Minnesota Vikings,WR,MIN,6
TEAdam TrautmanDEN,Adam Trautman,TE,"$4,500,000 ",Denver Broncos,TE,DEN,12
DLAdedayo OdeleyeBAL,Adedayo Odeleye,DT,"$840,000 ",Baltimore Ravens,DL,BAL,7
DLAdetomiwa AdebaworeIND,Adetomiwa Adebawore,DT,"$1,229,227 ",Indianapolis Colts,DL,IND,11
DLAdin HuntingtonCLE,Adin Huntington,DT,"$846,666 ",Cleveland Browns,DL,CLE,9
LBAdisa IsaacBAL,Adisa Isaac,OLB,"$1,283,644 ",Baltimore Ravens,LB,BAL,7
WRAdonai MitchellIND,Adonai Mitchell,WR,"$1,678,656 ",Indianapolis Colts,WR,IND,11
DBAdoree' JacksonPHI,Adoree' Jackson,CB,"$1,355,000 ",Philadelphia Eagles,DB,PHI,9
QBAdrian MartinezNYJ,Adrian Martinez,QB,"$840,000 ",New York Jets,QB,NYJ,9
DLAeneas PeeblesBAL,Aeneas Peebles,DT,"$883,570 ",Baltimore Ravens,DL,BAL,7
DBAhkello WitherspoonLAR,Ahkello Witherspoon,CB,"$1,255,000 ",Los Angeles Rams,DB,LAR,8
DBAhmad GardnerNYJ,Ahmad Gardner,CB,"$9,376,964 ",New York Jets,DB,NYJ,9
RBAhmani MarshallCLE,Ahmani Marshall,RB,"$840,000 ",Cleveland Browns,RB,CLE,9
DLAhmed HassaneinDET,Ahmed Hassanein,DE,"$897,473 ",Detroit Lions,DL,DET,8
DLAidan HutchinsonDET,Aidan Hutchinson,DE,"$11,365,351 ",Detroit Lions,DL,DET,8
QBAidan O'ConnellLV,Aidan O'Connell,QB,"$1,157,345 ",Las Vegas Raiders,QB,LV,8
WRAinias SmithPHI,Ainias Smith,WR,"$1,043,574 ",Philadelphia Eagles,WR,PHI,9
WRAJ HenningMIA,AJ Henning,WR,"$843,333 ",Miami Dolphins,WR,MIA,12
DBAjani CarterKC,Ajani Carter,CB,"$840,000 ",Kansas City Chiefs,DB,KC,10
WRAjou AjouIND,Ajou Ajou,WR,"$840,000 ",Indianapolis Colts,WR,IND,11
