Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
Lamar Jackson,QB,28.32,17.98,216.5,1.92,0.56,,,,48.5,0.5,0.3,23.64,0,1
Josh Allen,QB,31.1,20.22,229.5,1.66,0.64,,,,34.5,0.69,0.23,22.81,0,2
Jayden Daniels,QB,31.38,20.99,228.5,1.52,0.46,,,,46.5,0.48,0.22,22.26,0,3
Jalen Hurts,QB,27.56,17.7,207.5,1.27,0.63,,,,44.5,0.82,0.24,22.14,0,4
Joe Burrow,QB,37.76,26.24,276.5,2.28,0.69,,,,10.42,0.18,0.23,21.63,0,5
Kyler Murray,QB,32.07,21.81,215.5,1.55,0.6,,,,38.0,0.42,0.25,20.52,0,6
Christian McCaffrey,RB,,,,,,4.57,34.78,,81.5,,0.1,20.22,0,7
Ja'Marr Chase,WR,,,,,,6.62,85.5,0.79,0.87,,0.03,20.01,0,8
Patrick Mahomes,QB,35.57,23.87,242.5,1.81,0.71,,,,21.6,0.24,0.13,19.81,0,9
Justin Herbert,QB,31.37,20.94,251.5,1.75,0.52,,,,18.51,0.21,0.16,19.62,0,10
Justin Jefferson,WR,,,,,,6.05,93.8,0.66,0.21,,0.03,19.39,0,11
Baker Mayfield,QB,32.96,21.4,234.5,1.87,0.84,,,,17.28,0.19,0.26,18.91,0,12
Bijan Robinson,RB,,,,,,3.68,26.09,,68.5,0.95,0.08,18.82,0,13
Drake Maye,QB,32.03,20.81,216.5,1.45,0.78,,,,33.03,0.29,0.26,18.75,0,14
Puka Nacua,WR,,,,,,7.24,78.5,0.56,2.85,,0.03,18.71,0,15
CeeDee Lamb,WR,,,,,,6.76,76.5,0.62,4.39,,0.03,18.59,0,16
Chase Brown,RB,,,,,,3.52,26.74,,70.5,0.89,0.11,18.57,0,17
Caleb Williams,QB,33.21,20.69,217.5,1.51,0.66,,,,32.83,0.19,0.27,18.47,0,18
Dak Prescott,QB,36.75,24.82,244.5,1.86,0.74,,,,9.7,0.15,0.22,18.35,0,19
Bucky Irving,RB,,,,,,2.88,21.23,,91.21,0.68,0.09,18.22,0,20
Daniel Jones,QB,32.02,20.77,203.5,1.26,0.7,,,,28.48,0.48,0.42,18.18,0,21
Justin Fields,QB,29.87,18.33,184.5,1.07,0.87,,,,43.5,0.5,0.3,18.15,0,22
Trevor Lawrence,QB,34.64,21.95,239.5,1.66,0.86,,,,16.55,0.19,0.27,18.15,0,23
Jahmyr Gibbs,RB,,,,,,3.42,23.47,,68.5,0.9,0.09,18.04,0,24
Bo Nix,QB,33.24,21.98,230.5,1.48,0.9,,,,23.56,0.24,0.18,18.04,0,25
De'Von Achane,RB,,,,,,4.68,27.5,,63.5,0.7,0.09,17.98,0,26
J.J. McCarthy,QB,33.42,21.65,216.5,1.58,0.76,,,,15.65,0.35,0.22,17.91,0,27
Jonathan Taylor,RB,,,,,,3.17,22.08,,77.5,0.79,0.08,17.84,0,28
Jared Goff,QB,33.01,22.32,250.5,1.8,0.72,,,,7.14,0.08,0.2,17.69,0,29
Jordan Love,QB,30.39,19.1,234.5,1.71,0.55,,,,6.5,0.22,0.19,17.65,0,30
Saquon Barkley,RB,,,,,,2.17,13.6,,87.5,0.89,0.09,17.6,0,31
Ashton Jeanty,RB,,,,,,3.31,27.78,,70.5,0.74,0.08,17.55,0,32
Geno Smith,QB,35.34,23.83,242.5,1.66,0.83,,,,10.34,0.17,0.19,17.54,0,33
Malik Nabers,WR,,,,,,6.04,76.5,0.6,1.6,,0.03,17.44,0,34
Derrick Henry,RB,,,,,,1.04,8.38,,93.5,1.01,0.1,17.27,0,35
Nico Collins,WR,,,,,,5.9,75.5,0.59,0.22,,0.03,16.99,0,36
Brock Bowers,TE,,,,,,6.5,70.36,0.52,1.26,,0.03,16.77,0,37
Kyren Williams,RB,,,,,,2.32,14.01,,76.5,0.89,0.09,16.7,0,38
Josh Jacobs,RB,,,,,,2.0,13.5,,77.5,0.92,0.1,16.6,0,39
Tua Tagovailoa,QB,35.01,23.35,236.5,1.6,0.84,,,,7.59,0.1,0.25,16.38,0,40
